slno,vehicle_type,brand,model,engine_type,make_year,mileage_range,mileage,oil_filter,engine_oil,washer_plug_drain,dust_and_pollen_filter,whell_alignment_and_balancing,air_clean_filter,fuel_filter,spark_plug,brake_fluid,brake_and_clutch_oil,transmission_fluid,brake_pads,clutch,coolant,timing_belt,cost
1,car,honda,jazz,petrol,2017,10000,11400,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2566
2,car,honda,jazz,petrol,2017,10000,11453,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2633
3,car,honda,jazz,petrol,2017,10000,10706,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2643
4,car,honda,jazz,petrol,2017,10000,11015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2532
5,car,honda,jazz,petrol,2017,10000,10039,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2489
6,car,honda,jazz,petrol,2017,10000,10348,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2578
7,car,honda,jazz,petrol,2017,10000,10936,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2631
8,car,honda,jazz,petrol,2017,10000,10355,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2639
9,car,honda,jazz,petrol,2017,10000,11028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2703
10,car,honda,jazz,petrol,2017,10000,10843,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2539
11,car,honda,jazz,petrol,2017,10000,10686,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2597
12,car,honda,jazz,petrol,2017,10000,10573,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2583
13,car,honda,jazz,petrol,2017,10000,10992,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2633
14,car,honda,jazz,petrol,2017,10000,10376,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2643
15,car,honda,jazz,petrol,2017,10000,11009,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2532
16,car,honda,jazz,petrol,2017,10000,10048,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2489
17,car,honda,jazz,petrol,2017,10000,10623,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2578
18,car,honda,jazz,petrol,2017,10000,10832,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2631
19,car,honda,jazz,petrol,2017,10000,11034,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2639
20,car,honda,jazz,petrol,2017,10000,10228,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2703
21,car,honda,jazz,petrol,2017,20000,20679,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3336
22,car,honda,jazz,petrol,2017,20000,20797,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3418
23,car,honda,jazz,petrol,2017,20000,19646,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3276
24,car,honda,jazz,petrol,2017,20000,20566,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3134
25,car,honda,jazz,petrol,2017,20000,20478,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3489
26,car,honda,jazz,petrol,2017,20000,20787,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3578
27,car,honda,jazz,petrol,2017,20000,19899,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3248
28,car,honda,jazz,petrol,2017,20000,20575,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3682
29,car,honda,jazz,petrol,2017,20000,21587,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3418
30,car,honda,jazz,petrol,2017,20000,20689,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3276
31,car,honda,jazz,petrol,2017,20000,20464,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3134
32,car,honda,jazz,petrol,2017,20000,21567,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3583
33,car,honda,jazz,petrol,2017,20000,22769,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3365
