slno,vehicle_type,brand ,model       ,engine_type,make_year,mileage_range,mileage,oil_filter,engine_oil,washer_plug_drain,dust_and_pollen_filter,whell_alignment_and_balancing,air_clean_filter,fuel_filter,spark_plug,brake_fluid,brake_and_clutch_oil,transmission_fluid,brake_pads,clutch,coolant,cost
1   ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,11400  ,1         ,1         ,0                ,0                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2566
2   ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,11453  ,1         ,1         ,0                ,0                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2633
3   ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10706  ,1         ,1         ,0                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2643
4   ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,11015  ,1         ,1         ,0                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2532
5   ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10039  ,1         ,1         ,0                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2489
6   ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10348  ,1         ,1         ,0                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2578
7   ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10936  ,1         ,1         ,0                ,0                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2631
8   ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10355  ,1         ,1         ,0                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2639
9   ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,11028  ,1         ,1         ,0                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2703
10  ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10843  ,1         ,1         ,0                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2539
11  ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10686  ,1         ,1         ,0                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2597
